dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
Adiac,0.6982097186700768,0.6777493606138107,0.6879795396419437,0.7058823529411765,0.6854219948849105,0.7263427109974424,0.6751918158567775,0.7033248081841432,0.6828644501278772,0.7033248081841432
ArrowHead,0.88,0.8457142857142858,0.8742857142857143,0.8628571428571429,0.8514285714285714,0.8171428571428572,0.8514285714285714,0.84,0.84,0.8171428571428572
Beef,0.6,0.6,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6,0.5333333333333333,0.6333333333333333,0.5333333333333333,0.5
BeetleFly,0.65,0.8,0.75,0.7,0.75,0.9,0.8,0.7,0.8,0.85
BirdChicken,0.8,0.8,0.75,0.75,0.7,0.75,0.75,0.75,0.8,0.7
Car,0.7333333333333333,0.7833333333333333,0.7,0.8166666666666667,0.75,0.7833333333333333,0.8333333333333334,0.7,0.7,0.7666666666666667
CBF,1.0,0.9966666666666668,0.9988888888888888,0.9966666666666668,0.9966666666666668,0.9988888888888888,0.9977777777777778,0.9988888888888888,1.0,1.0
ChlorineConcentration,0.6049479166666667,0.6080729166666666,0.5950520833333334,0.6013020833333333,0.6018229166666667,0.6125,0.61640625,0.6059895833333333,0.5916666666666667,0.6098958333333333
CinCECGTorso,0.6833333333333333,0.6804347826086956,0.6797101449275362,0.6927536231884058,0.6681159420289855,0.6876811594202898,0.6731884057971015,0.7007246376811594,0.6840579710144927,0.6681159420289855
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.652,0.624,0.656,0.648,0.608,0.652,0.648,0.6,0.628,0.632
CricketX,0.7102564102564103,0.7307692307692307,0.7153846153846154,0.7102564102564103,0.7333333333333333,0.7282051282051282,0.7307692307692307,0.6897435897435897,0.7256410256410256,0.7230769230769231
CricketY,0.6717948717948717,0.6794871794871795,0.6743589743589744,0.676923076923077,0.6897435897435897,0.6641025641025641,0.6666666666666666,0.6666666666666666,0.6820512820512821,0.676923076923077
CricketZ,0.7,0.7205128205128205,0.7153846153846154,0.7051282051282052,0.7205128205128205,0.7333333333333333,0.7102564102564103,0.7282051282051282,0.7256410256410256,0.7282051282051282
DiatomSizeReduction,0.937908496732026,0.934640522875817,0.954248366013072,0.9411764705882352,0.934640522875817,0.9444444444444444,0.937908496732026,0.9444444444444444,0.934640522875817,0.931372549019608
DistalPhalanxOutlineCorrect,0.7355072463768116,0.7282608695652174,0.7463768115942029,0.7463768115942029,0.7572463768115942,0.7427536231884058,0.7608695652173914,0.7282608695652174,0.7536231884057971,0.7608695652173914
DistalPhalanxOutlineAgeGroup,0.762589928057554,0.6762589928057554,0.697841726618705,0.697841726618705,0.697841726618705,0.6834532374100719,0.697841726618705,0.6618705035971223,0.6618705035971223,0.6690647482014388
DistalPhalanxTW,0.60431654676259,0.6618705035971223,0.5755395683453237,0.5827338129496403,0.6402877697841727,0.6187050359712231,0.6330935251798561,0.5971223021582733,0.60431654676259,0.5827338129496403
Earthquakes,0.697841726618705,0.6906474820143885,0.6906474820143885,0.7266187050359713,0.6618705035971223,0.6546762589928058,0.6762589928057554,0.697841726618705,0.7050359712230215,0.6762589928057554
ECG200,0.89,0.87,0.85,0.85,0.87,0.85,0.87,0.92,0.88,0.87
ECG5000,0.9346666666666666,0.9335555555555556,0.9342222222222222,0.9351111111111112,0.9335555555555556,0.9315555555555556,0.9337777777777778,0.932,0.9346666666666666,0.9351111111111112
ECGFiveDays,0.9883855981416956,0.994192799070848,0.983739837398374,0.9860627177700348,0.994192799070848,0.9907084785133564,0.994192799070848,0.9907084785133564,0.9953542392566784,0.991869918699187
FaceAll,0.7834319526627219,0.7668639053254438,0.755621301775148,0.7775147928994083,0.778698224852071,0.7763313609467456,0.7710059171597633,0.7644970414201183,0.7644970414201183,0.7656804733727811
FaceFour,0.5454545454545454,0.5340909090909091,0.5681818181818182,0.5454545454545454,0.5681818181818182,0.5227272727272727,0.4886363636363636,0.5454545454545454,0.5113636363636364,0.5568181818181818
FacesUCR,0.8721951219512195,0.8814634146341463,0.8692682926829268,0.8678048780487805,0.864390243902439,0.8678048780487805,0.864390243902439,0.8673170731707317,0.8717073170731707,0.8678048780487805
FiftyWords,0.6923076923076923,0.6923076923076923,0.654945054945055,0.6879120879120879,0.6681318681318681,0.6483516483516484,0.6813186813186813,0.6659340659340659,0.6615384615384615,0.6725274725274726
