,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
0,Adiac,0.4859335038363171,0.4398976982097187,0.3989769820971867,0.40153452685422,0.4424552429667519,0.4578005115089514,0.4347826086956521,0.4194373401534527,0.4271099744245524,0.4398976982097187
1,ArrowHead,0.5714285714285714,0.5714285714285714,0.5485714285714286,0.5257142857142857,0.4114285714285714,0.4742857142857143,0.5142857142857142,0.5028571428571429,0.5771428571428572,0.4914285714285714
2,Beef,0.4333333333333333,0.5333333333333333,0.3333333333333333,0.2666666666666666,0.3333333333333333,0.3,0.3333333333333333,0.3666666666666666,0.3333333333333333,0.4666666666666667
3,BeetleFly,0.55,0.6,0.6,0.45,0.6,0.65,0.7,0.6,0.5,0.5
4,BirdChicken,0.7,0.65,0.65,0.75,0.7,0.6,0.7,0.75,0.6,0.55
5,Car,0.4333333333333333,0.4166666666666667,0.2666666666666666,0.5166666666666667,0.45,0.4166666666666667,0.3666666666666666,0.3166666666666666,0.4333333333333333,0.4333333333333333
6,CBF,0.7033333333333334,0.8344444444444444,0.5866666666666667,0.7666666666666667,0.8366666666666667,0.7188888888888889,0.7055555555555556,0.7622222222222222,0.6977777777777778,0.7966666666666666
7,ChlorineConcentration,0.4846354166666666,0.4841145833333333,0.49375,0.4893229166666666,0.4979166666666667,0.4752604166666667,0.5169270833333334,0.4997395833333333,0.51015625,0.4927083333333333
8,CinCECGTorso,0.3768115942028985,0.3876811594202898,0.3492753623188406,0.4043478260869565,0.3891304347826086,0.3978260869565217,0.4057971014492754,0.4869565217391304,0.3557971014492753,0.3898550724637681
9,Coffee,0.8928571428571429,0.8214285714285714,0.75,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.9642857142857144,0.6785714285714286,0.8928571428571429,0.6071428571428571
10,Computers,0.64,0.64,0.632,0.584,0.592,0.576,0.552,0.612,0.576,0.54
11,CricketX,0.3384615384615385,0.4461538461538462,0.4435897435897435,0.4538461538461538,0.4846153846153846,0.4435897435897435,0.4564102564102564,0.4076923076923077,0.3564102564102564,0.4
12,CricketY,0.3923076923076923,0.4230769230769231,0.4205128205128205,0.4051282051282051,0.3512820512820512,0.4025641025641026,0.4153846153846154,0.4307692307692308,0.3333333333333333,0.4333333333333333
13,CricketZ,0.3641025641025641,0.341025641025641,0.4615384615384615,0.4307692307692308,0.4282051282051282,0.4743589743589743,0.441025641025641,0.4666666666666667,0.4358974358974359,0.4589743589743589
14,DiatomSizeReduction,0.6209150326797386,0.4411764705882353,0.4444444444444444,0.7418300653594772,0.738562091503268,0.5098039215686274,0.4183006535947712,0.4934640522875817,0.6209150326797386,0.477124183006536
15,DistalPhalanxOutlineCorrect,0.6521739130434783,0.7065217391304348,0.7065217391304348,0.6920289855072463,0.717391304347826,0.6702898550724637,0.6956521739130435,0.6920289855072463,0.6485507246376812,0.6884057971014492
16,DistalPhalanxOutlineAgeGroup,0.6187050359712231,0.6690647482014388,0.6474820143884892,0.6115107913669064,0.6474820143884892,0.6618705035971223,0.6906474820143885,0.6546762589928058,0.5683453237410072,0.6546762589928058
