,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
0,Adiac,0.4117647058823529,0.3810741687979539,0.4884910485933504,0.40153452685422,0.4245524296675191,0.3938618925831202,0.4168797953964194,0.4347826086956521,0.309462915601023,0.3861892583120204
1,ArrowHead,0.4742857142857143,0.4114285714285714,0.4742857142857143,0.4457142857142857,0.4571428571428571,0.5314285714285715,0.4628571428571428,0.6,0.4628571428571428,0.4457142857142857
2,Beef,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2666666666666666,0.4,0.2666666666666666,0.3666666666666666,0.3333333333333333,0.4333333333333333,0.4333333333333333
3,BeetleFly,0.65,0.5,0.5,0.7,0.35,0.45,0.7,0.5,0.45,0.7
4,BirdChicken,0.55,0.8,0.6,0.6,0.65,0.5,0.7,0.65,0.7,0.6
5,Car,0.45,0.4333333333333333,0.4,0.3666666666666666,0.4,0.4333333333333333,0.3666666666666666,0.3333333333333333,0.45,0.35
6,CBF,0.8955555555555555,0.8533333333333334,0.7666666666666667,0.7622222222222222,0.8477777777777777,0.7922222222222223,0.7933333333333333,0.7566666666666667,0.8977777777777778,0.8144444444444444
7,ChlorineConcentration,0.528125,0.46953125,0.48203125,0.5018229166666667,0.4958333333333333,0.4903645833333333,0.4885416666666666,0.4854166666666666,0.4822916666666667,0.50546875
8,CinCECGTorso,0.4043478260869565,0.3833333333333333,0.4326086956521739,0.4036231884057971,0.4434782608695652,0.4543478260869565,0.4449275362318841,0.3702898550724637,0.4057971014492754,0.3927536231884058
9,Coffee,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8214285714285714,0.8571428571428571,0.7857142857142857,0.75,0.5714285714285714,0.8928571428571429,0.7857142857142857
10,Computers,0.524,0.588,0.576,0.556,0.544,0.552,0.512,0.58,0.568,0.6
11,CricketX,0.4076923076923077,0.4794871794871795,0.4307692307692308,0.4435897435897435,0.4333333333333333,0.4205128205128205,0.4,0.4974358974358974,0.3923076923076923,0.3974358974358974
12,CricketY,0.4179487179487179,0.4,0.4692307692307692,0.3564102564102564,0.3846153846153846,0.3897435897435897,0.4025641025641026,0.3384615384615385,0.3692307692307692,0.4846153846153846
13,CricketZ,0.4256410256410256,0.4692307692307692,0.4487179487179487,0.4179487179487179,0.4307692307692308,0.4,0.382051282051282,0.4461538461538462,0.441025641025641,0.4871794871794871
14,DiatomSizeReduction,0.5163398692810458,0.4869281045751634,0.5751633986928104,0.5751633986928104,0.4607843137254901,0.6372549019607843,0.5359477124183006,0.6503267973856209,0.5294117647058824,0.4803921568627451
15,DistalPhalanxOutlineCorrect,0.6594202898550725,0.7101449275362319,0.6739130434782609,0.6847826086956522,0.6739130434782609,0.7028985507246377,0.6666666666666666,0.6956521739130435,0.7355072463768116,0.6992753623188406
16,DistalPhalanxOutlineAgeGroup,0.6115107913669064,0.6474820143884892,0.6546762589928058,0.6546762589928058,0.5899280575539568,0.60431654676259,0.697841726618705,0.6474820143884892,0.5899280575539568,0.6330935251798561
17,DistalPhalanxTW,0.5179856115107914,0.5179856115107914,0.539568345323741,0.5827338129496403,0.6115107913669064,0.539568345323741,0.5107913669064749,0.5971223021582733,0.5539568345323741,0.5755395683453237
18,Earthquakes,0.6618705035971223,0.6258992805755396,0.6546762589928058,0.6474820143884892,0.6690647482014388,0.6402877697841727,0.6618705035971223,0.6258992805755396,0.6546762589928058,0.6187050359712231
19,ECG200,0.82,0.71,0.76,0.75,0.77,0.72,0.84,0.67,0.72,0.76
20,ECG5000,0.9031111111111112,0.9062222222222224,0.898,0.8995555555555556,0.9057777777777778,0.9006666666666666,0.8993333333333333,0.9115555555555556,0.8993333333333333,0.8966666666666666
21,ECGFiveDays,0.8164924506387921,0.6968641114982579,0.6747967479674797,0.6782810685249709,0.629500580720093,0.662020905923345,0.645760743321719,0.8583042973286876,0.7386759581881533,0.8048780487804879
22,FaceAll,0.5698224852071005,0.5940828402366863,0.5485207100591716,0.5360946745562131,0.5988165680473373,0.58698224852071,0.5958579881656805,0.5396449704142012,0.591715976331361,0.5940828402366863
23,FaceFour,0.2954545454545454,0.375,0.2840909090909091,0.3977272727272727,0.3522727272727273,0.3295454545454545,0.4431818181818182,0.4090909090909091,0.375,0.4318181818181818
24,FacesUCR,0.5087804878048781,0.5531707317073171,0.551219512195122,0.524390243902439,0.52,0.5409756097560976,0.5302439024390244,0.5663414634146341,0.5292682926829269,0.5478048780487805
25,FiftyWords,0.2901098901098901,0.3802197802197802,0.3582417582417582,0.3604395604395604,0.4109890109890109,0.3406593406593406,0.3736263736263736,0.3758241758241758,0.367032967032967,0.4043956043956044
26,Fish,0.4914285714285714,0.3657142857142857,0.4628571428571428,0.4285714285714285,0.5142857142857142,0.3714285714285714,0.56,0.44,0.5085714285714286,0.4571428571428571
27,FordA,0.8401515151515152,0.8295454545454546,0.828030303030303,0.8424242424242424,0.8356060606060606,0.8371212121212122,0.8204545454545454,0.8416666666666667,0.8272727272727273,0.8568181818181818
28,FordB,0.6876543209876543,0.6666666666666666,0.6851851851851852,0.674074074074074,0.674074074074074,0.6765432098765433,0.7111111111111111,0.6962962962962963,0.6765432098765433,0.6938271604938272
29,GunPoint,0.6133333333333333,0.6666666666666666,0.6066666666666667,0.7066666666666667,0.7066666666666667,0.66,0.7066666666666667,0.6266666666666667,0.6466666666666666,0.7066666666666667
30,Ham,0.5047619047619047,0.5428571428571428,0.5333333333333333,0.5238095238095238,0.4666666666666667,0.6095238095238096,0.6,0.6095238095238096,0.5428571428571428,0.5619047619047619
31,HandOutlines,0.7567567567567568,0.7918918918918919,0.7918918918918919,0.8054054054054054,0.8162162162162162,0.827027027027027,0.7972972972972973,0.7756756756756756,0.7756756756756756,0.7783783783783784
32,Haptics,0.3149350649350649,0.3051948051948052,0.3051948051948052,0.2792207792207792,0.3279220779220779,0.2792207792207792,0.3344155844155844,0.3246753246753247,0.275974025974026,0.3116883116883117
33,Herring,0.609375,0.578125,0.453125,0.5,0.453125,0.515625,0.625,0.546875,0.515625,0.53125
34,InlineSkate,0.2254545454545454,0.2163636363636363,0.2218181818181818,0.2363636363636363,0.2127272727272727,0.2290909090909091,0.1909090909090909,0.2218181818181818,0.2181818181818181,0.1981818181818181
35,InsectWingbeatSound,0.305050505050505,0.3232323232323232,0.3085858585858586,0.2898989898989899,0.301010101010101,0.3131313131313131,0.3181818181818182,0.3202020202020202,0.3176767676767676,0.3439393939393939
36,ItalyPowerDemand,0.7327502429543246,0.8192419825072886,0.7278911564625851,0.7094266277939747,0.7667638483965015,0.7755102040816326,0.7619047619047619,0.8931000971817298,0.7580174927113703,0.8036929057337221
37,LargeKitchenAppliances,0.672,0.712,0.6906666666666667,0.6853333333333333,0.68,0.696,0.6773333333333333,0.672,0.712,0.704
38,Lightning2,0.6557377049180327,0.6721311475409836,0.6557377049180327,0.639344262295082,0.7049180327868853,0.6065573770491803,0.7704918032786885,0.5901639344262295,0.5081967213114754,0.6229508196721312
39,Lightning7,0.4246575342465753,0.547945205479452,0.3561643835616438,0.410958904109589,0.4246575342465753,0.4383561643835616,0.3150684931506849,0.4657534246575342,0.410958904109589,0.3698630136986301
40,Mallat,0.5582089552238806,0.4119402985074626,0.473773987206823,0.5547974413646055,0.4980810234541578,0.5432835820895522,0.5855010660980811,0.4716417910447761,0.5752665245202558,0.4968017057569296
41,Meat,0.8,0.8166666666666667,0.65,0.8,0.6833333333333333,0.8833333333333333,0.7166666666666667,0.7833333333333333,0.7166666666666667,0.85
42,MedicalImages,0.4947368421052631,0.4723684210526316,0.5447368421052632,0.5223684210526316,0.4855263157894737,0.4960526315789473,0.531578947368421,0.5105263157894737,0.5421052631578948,0.4947368421052631
43,MiddlePhalanxOutlineCorrect,0.7044673539518901,0.6254295532646048,0.7010309278350515,0.6529209621993127,0.6116838487972509,0.7353951890034365,0.6804123711340206,0.7044673539518901,0.6563573883161512,0.7010309278350515
44,MiddlePhalanxOutlineAgeGroup,0.487012987012987,0.461038961038961,0.487012987012987,0.4545454545454545,0.5584415584415584,0.487012987012987,0.525974025974026,0.4805194805194805,0.538961038961039,0.5194805194805194
45,MiddlePhalanxTW,0.5064935064935064,0.4415584415584415,0.525974025974026,0.474025974025974,0.435064935064935,0.474025974025974,0.4415584415584415,0.4415584415584415,0.474025974025974,0.461038961038961
46,MoteStrain,0.6238019169329073,0.6222044728434505,0.6557507987220448,0.6437699680511182,0.5591054313099042,0.5567092651757188,0.5990415335463258,0.6573482428115016,0.5646964856230032,0.6054313099041534
47,NonInvasiveFetalECGThorax1,0.6661577608142494,0.6931297709923664,0.710941475826972,0.6356234096692112,0.6758269720101782,0.7150127226463104,0.7063613231552163,0.6966921119592875,0.6473282442748092,0.6768447837150128
48,NonInvasiveFetalECGThorax2,0.7450381679389313,0.7475826972010178,0.7618320610687023,0.7175572519083969,0.7379134860050891,0.704325699745547,0.7155216284987277,0.7358778625954199,0.7185750636132315,0.749618320610687
49,OliveOil,0.7,0.5333333333333333,0.7,0.7,0.6333333333333333,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,0.7333333333333333
50,OSULeaf,0.4421487603305785,0.4338842975206611,0.4462809917355372,0.5082644628099173,0.5082644628099173,0.4297520661157025,0.4173553719008264,0.4586776859504132,0.4793388429752066,0.3925619834710744
51,PhalangesOutlinesCorrect,0.6946386946386947,0.7062937062937062,0.7097902097902098,0.6864801864801865,0.6771561771561772,0.6864801864801865,0.6899766899766899,0.6934731934731935,0.6993006993006993,0.6899766899766899
52,Phoneme,0.100210970464135,0.1054852320675105,0.1112869198312236,0.1223628691983122,0.1234177215189873,0.1081223628691983,0.1244725738396624,0.1176160337552742,0.1102320675105485,0.1133966244725738
