,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
0,Adiac,0.7621483375959079,0.7698209718670077,0.7647058823529411,0.7570332480818415,0.7672634271099744,0.7544757033248082,0.7672634271099744,0.7749360613810742,0.7647058823529411,0.7621483375959079
1,ArrowHead,0.7885714285714286,0.7942857142857143,0.8114285714285714,0.8114285714285714,0.7942857142857143,0.8,0.7942857142857143,0.8228571428571428,0.7942857142857143,0.8
2,Beef,0.6333333333333333,0.6333333333333333,0.7,0.6,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.7,0.6666666666666666,0.6333333333333333
3,BeetleFly,0.75,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8
4,BirdChicken,0.9,0.95,0.95,0.9,0.9,0.9,0.9,0.9,0.95,0.9
5,Car,0.8666666666666667,0.8833333333333333,0.85,0.8666666666666667,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8833333333333333
6,CBF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,ChlorineConcentration,0.5453125,0.525,0.4916666666666666,0.5026041666666666,0.5286458333333334,0.5075520833333333,0.4848958333333333,0.4934895833333333,0.5072916666666667,0.5338541666666666
8,CinCECGTorso,0.7304347826086957,0.7188405797101449,0.7166666666666667,0.7210144927536232,0.6956521739130435,0.7195652173913043,0.7159420289855073,0.7405797101449275,0.7094202898550724,0.6833333333333333
9,Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Computers,0.728,0.696,0.72,0.652,0.696,0.692,0.688,0.668,0.72,0.716
11,CricketX,0.7256410256410256,0.7230769230769231,0.7307692307692307,0.7230769230769231,0.7051282051282052,0.7205128205128205,0.7230769230769231,0.7205128205128205,0.7410256410256411,0.7205128205128205
12,CricketY,0.7025641025641025,0.7230769230769231,0.7230769230769231,0.7153846153846154,0.7153846153846154,0.7205128205128205,0.7102564102564103,0.7153846153846154,0.735897435897436,0.7205128205128205
13,CricketZ,0.7205128205128205,0.7307692307692307,0.7076923076923077,0.7102564102564103,0.7256410256410256,0.7410256410256411,0.764102564102564,0.7333333333333333,0.7435897435897436,0.7435897435897436
14,DiatomSizeReduction,0.9444444444444444,0.954248366013072,0.9509803921568628,0.954248366013072,0.9477124183006536,0.9509803921568628,0.954248366013072,0.954248366013072,0.954248366013072,0.9509803921568628
15,DistalPhalanxOutlineCorrect,0.7536231884057971,0.7210144927536232,0.7427536231884058,0.75,0.7572463768115942,0.7536231884057971,0.75,0.7391304347826086,0.7427536231884058,0.7355072463768116
16,DistalPhalanxOutlineAgeGroup,0.7410071942446043,0.7410071942446043,0.7338129496402878,0.7194244604316546,0.7266187050359713,0.7194244604316546,0.7338129496402878,0.762589928057554,0.7194244604316546,0.7122302158273381
17,DistalPhalanxTW,0.5755395683453237,0.5755395683453237,0.5755395683453237,0.5755395683453237,0.60431654676259,0.6115107913669064,0.5827338129496403,0.6115107913669064,0.5539568345323741,0.5755395683453237
18,Earthquakes,0.5107913669064749,0.6258992805755396,0.6258992805755396,0.5899280575539568,0.5467625899280576,0.5683453237410072,0.6474820143884892,0.5539568345323741,0.5899280575539568,0.6618705035971223
19,ECG200,0.9,0.91,0.92,0.92,0.9,0.91,0.9,0.91,0.9,0.92
20,ECG5000,0.9275555555555556,0.9273333333333332,0.9271111111111112,0.9226666666666666,0.9264444444444444,0.928,0.9244444444444444,0.9235555555555556,0.9237777777777778,0.926
21,ECGFiveDays,0.951219512195122,0.9442508710801394,0.9535423925667827,0.9558652729384436,0.9558652729384436,0.9454123112659698,0.9303135888501742,0.9790940766550522,0.943089430894309,0.9639953542392566
22,FaceAll,0.7857988165680473,0.7911242603550296,0.785207100591716,0.7875739644970414,0.7869822485207101,0.7840236686390533,0.7863905325443787,0.7840236686390533,0.7923076923076923,0.7792899408284024
