,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
0,Adiac,0.7084398976982097,0.7084398976982097,0.7161125319693095,0.7186700767263428,0.7033248081841432,0.731457800511509,0.7033248081841432,0.690537084398977,0.7289002557544757,0.6879795396419437
1,ArrowHead,0.8571428571428571,0.8457142857142858,0.8742857142857143,0.8114285714285714,0.8457142857142858,0.8628571428571429,0.8514285714285714,0.8571428571428571,0.8285714285714286,0.84
2,Beef,0.5666666666666667,0.6666666666666666,0.5666666666666667,0.6,0.5,0.6333333333333333,0.5,0.6333333333333333,0.5666666666666667,0.4666666666666667
3,BeetleFly,0.8,0.75,0.8,0.9,0.8,0.7,0.75,0.8,0.85,0.75
4,BirdChicken,0.7,0.7,0.75,0.75,0.8,0.8,0.75,0.75,0.8,0.8
5,Car,0.7333333333333333,0.8166666666666667,0.7333333333333333,0.7666666666666667,0.7166666666666667,0.65,0.75,0.7833333333333333,0.7333333333333333,0.7666666666666667
6,CBF,0.9977777777777778,0.9988888888888888,0.9988888888888888,1.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,1.0,0.9988888888888888
7,ChlorineConcentration,0.6067708333333334,0.60234375,0.60625,0.6013020833333333,0.5942708333333333,0.6013020833333333,0.5947916666666667,0.61015625,0.61015625,0.5901041666666667
8,CinCECGTorso,0.6876811594202898,0.6840579710144927,0.7007246376811594,0.6876811594202898,0.6673913043478261,0.6905797101449276,0.6746376811594202,0.6847826086956522,0.7007246376811594,0.6949275362318841
9,Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Computers,0.62,0.628,0.656,0.6,0.604,0.644,0.652,0.66,0.62,0.612
11,CricketX,0.6846153846153846,0.7076923076923077,0.7333333333333333,0.7333333333333333,0.7,0.7128205128205128,0.7205128205128205,0.7102564102564103,0.7102564102564103,0.6923076923076923
12,CricketY,0.658974358974359,0.6743589743589744,0.6871794871794872,0.6820512820512821,0.6666666666666666,0.6538461538461539,0.6974358974358974,0.6538461538461539,0.6897435897435897,0.6820512820512821
13,CricketZ,0.7205128205128205,0.7102564102564103,0.735897435897436,0.7333333333333333,0.7230769230769231,0.7307692307692307,0.7512820512820513,0.7461538461538462,0.7153846153846154,0.7435897435897436
14,DiatomSizeReduction,0.937908496732026,0.9836601307189542,0.9444444444444444,0.9803921568627452,0.9052287581699346,0.9477124183006536,0.9738562091503268,0.9411764705882352,0.931372549019608,0.937908496732026
15,DistalPhalanxOutlineCorrect,0.75,0.7427536231884058,0.7427536231884058,0.7246376811594203,0.7427536231884058,0.7608695652173914,0.7210144927536232,0.7463768115942029,0.7681159420289855,0.7572463768115942
16,DistalPhalanxOutlineAgeGroup,0.6762589928057554,0.697841726618705,0.6906474820143885,0.697841726618705,0.6834532374100719,0.7266187050359713,0.7194244604316546,0.6402877697841727,0.7194244604316546,0.7050359712230215
17,DistalPhalanxTW,0.5899280575539568,0.6546762589928058,0.5539568345323741,0.5683453237410072,0.6618705035971223,0.5755395683453237,0.5971223021582733,0.5971223021582733,0.5467625899280576,0.5755395683453237
18,Earthquakes,0.6834532374100719,0.6187050359712231,0.6546762589928058,0.6834532374100719,0.6762589928057554,0.6834532374100719,0.6834532374100719,0.6402877697841727,0.7338129496402878,0.6762589928057554
