dataset,MDLP_L,MDLP_H,SAX_L,SAX_H,KM_L,KM_H
Adiac,0.7647058823529412,0.764450127877238,0.7097186700767264,0.6946291560102301,0.4048593350383631,0.43478260869565216
ArrowHead,0.8034285714285714,0.8011428571428573,0.8474285714285715,0.8480000000000001,0.47657142857142853,0.5188571428571429
Beef,0.6766666666666666,0.6633333333333333,0.57,0.57,0.35,0.37
BeetleFly,0.75,0.7749999999999999,0.7899999999999999,0.77,0.55,0.575
BirdChicken,0.9000000000000001,0.915,0.76,0.755,0.635,0.6649999999999999
Car,0.8683333333333334,0.8700000000000001,0.745,0.7566666666666666,0.3983333333333333,0.40499999999999997
CBF,1.0,1.0,0.9989999999999999,0.9984444444444446,0.818,0.7408888888888889
ChlorineConcentration,0.5141666666666668,0.5120312499999999,0.6017447916666667,0.604765625,0.49294270833333326,0.4944531249999999
CinCECGTorso,0.7042028985507246,0.7151449275362318,0.6873188405797102,0.6818115942028986,0.4135507246376811,0.39434782608695645
Coffee,1.0,1.0,1.0,1.0,0.7821428571428571,0.8107142857142857
Computers,0.7088,0.6976,0.6296,0.6348,0.5599999999999999,0.5944
CricketX,0.724871794871795,0.7233333333333334,0.7105128205128206,0.7197435897435898,0.43025641025641026,0.4230769230769231
CricketY,0.7130769230769232,0.7182051282051283,0.6746153846153847,0.674871794871795,0.4012820512820513,0.40076923076923077
CricketZ,0.7207692307692308,0.7320512820512821,0.731025641025641,0.7187179487179487,0.43487179487179495,0.4302564102564103
DiatomSizeReduction,0.9562091503267975,0.9516339869281045,0.9483660130718954,0.9395424836601307,0.5447712418300653,0.5506535947712419
DistalPhalanxOutlineCorrect,0.7456521739130435,0.7445652173913044,0.7456521739130435,0.7460144927536232,0.6902173913043479,0.6869565217391305
DistalPhalanxOutlineAgeGroup,0.7158273381294964,0.7309352517985611,0.6956834532374101,0.6906474820143886,0.6330935251798561,0.6424460431654677
DistalPhalanxTW,0.5971223021582733,0.5841726618705035,0.5920863309352518,0.6100719424460431,0.5546762589928058,0.5424460431654676
Earthquakes,0.5762589928057553,0.5920863309352519,0.6733812949640289,0.687769784172662,0.6460431654676259,0.6784172661870504
ECG200,0.909,0.909,0.873,0.8719999999999999,0.752,0.779
ECG5000,0.9266888888888888,0.925688888888889,0.9339555555555556,0.9338222222222223,0.9020222222222222,0.9041555555555556
ECGFiveDays,0.9284552845528454,0.9522648083623693,0.9883855981416957,0.9909407665505228,0.7205574912891985,0.7246225319396051
FaceAll,0.7844970414201183,0.7862721893491122,0.7727810650887573,0.770414201183432,0.5755621301775149,0.5525443786982248
FaceFour,0.9295454545454545,0.9193181818181818,0.5329545454545453,0.5386363636363637,0.3693181818181818,0.35454545454545455
FacesUCR,0.8770243902439026,0.8829756097560976,0.8727317073170733,0.8694146341463416,0.537219512195122,0.5084878048780489
FiftyWords,0.6342857142857141,0.6353846153846154,0.653846153846154,0.6725274725274726,0.36615384615384616,0.36483516483516487
Fish,0.8822857142857142,0.892,0.8400000000000001,0.8325714285714285,0.45999999999999996,0.46514285714285714
FordA,0.8707575757575757,0.8724242424242423,0.8708333333333333,0.8690909090909089,0.8359090909090909,0.8393939393939395
FordB,0.729753086419753,0.7295061728395063,0.7225925925925927,0.7209876543209877,0.6841975308641974,0.6939506172839506
GunPoint,0.9793333333333333,0.9786666666666669,0.9686666666666668,0.968,0.6646666666666667,0.674
Ham,0.6657142857142857,0.6752380952380953,0.5657142857142856,0.5885714285714285,0.5495238095238095,0.5438095238095239
HandOutlines,0.8667567567567568,0.8732432432432432,0.8581081081081082,0.8697297297297297,0.7916216216216216,0.7918918918918919
